number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
119,,2023-09-12 23:35:53.042880,2023-09-12 23:35:53.496235,0 days 00:00:00.453355,1.0,8.35926457047426,4,46,1.193561464759243,6.749327259180523,0.8,FAIL
120,,2023-09-12 23:35:53.498756,2023-09-12 23:35:53.993761,0 days 00:00:00.495005,0.9,2.772895215691018,4,46,4.552490435484378,1.13338299727969,1.0,FAIL
121,,2023-09-12 23:35:53.995760,2023-09-12 23:35:54.633945,0 days 00:00:00.638185,0.9,5.67086509122036,3,48,5.533867689688751,2.7548034575927134,0.8,FAIL
122,,2023-09-12 23:35:54.635945,2023-09-12 23:35:55.137540,0 days 00:00:00.501595,1.0,9.702249873864604,6,74,8.544162403525482,1.2456806642566085,0.8,FAIL
123,,2023-09-12 23:35:55.138550,2023-09-12 23:35:55.890637,0 days 00:00:00.752087,0.9,3.8537573958769524,5,54,5.415412728430921,9.155996648650017,0.7,FAIL
124,,2023-09-12 23:35:55.892637,2023-09-12 23:35:56.403358,0 days 00:00:00.510721,0.5,2.86467551932279,5,74,9.617803674052947,8.400139378349397,1.0,FAIL
125,,2023-09-12 23:35:56.405358,2023-09-12 23:35:56.846703,0 days 00:00:00.441345,0.5,5.082169474810414,4,8,4.046194503212005,1.1771387622127687,0.6,FAIL
126,,2023-09-12 23:35:56.848716,2023-09-12 23:35:57.339224,0 days 00:00:00.490508,0.9,6.307309126814253,3,88,5.51682937577789,8.944697354828438,0.6,FAIL
127,,2023-09-12 23:35:57.341225,2023-09-12 23:35:58.022233,0 days 00:00:00.681008,0.9,1.397568728079074,4,31,2.24060299913661,9.984406860455081,0.8,FAIL
128,,2023-09-12 23:35:58.023233,2023-09-12 23:35:58.727752,0 days 00:00:00.704519,1.0,7.8760429366157965,6,88,8.040533605665399,6.162988079922333,0.7,FAIL
129,,2023-09-12 23:35:58.729260,2023-09-12 23:35:59.336438,0 days 00:00:00.607178,0.9,9.693891443258098,5,54,9.75450997161446,2.722155722990248,0.6,FAIL
130,,2023-09-12 23:35:59.337942,2023-09-12 23:36:00.066631,0 days 00:00:00.728689,0.7,6.060220152173825,6,96,3.5607627160914403,4.016982231893152,1.0,FAIL
131,,2023-09-12 23:36:00.068136,2023-09-12 23:36:00.829375,0 days 00:00:00.761239,0.9,1.1694120687921623,4,82,6.135411274736747,9.011401006288025,0.8,FAIL
132,,2023-09-12 23:36:00.830376,2023-09-12 23:36:01.397578,0 days 00:00:00.567202,0.5,2.6746084233977268,4,66,4.435971799236332,3.7575548318913596,0.6,FAIL
133,,2023-09-12 23:36:01.399085,2023-09-12 23:36:01.868219,0 days 00:00:00.469134,1.0,2.7067871740347607,5,41,3.3966333273189537,3.1945483390864506,0.8,FAIL
134,,2023-09-12 23:36:01.869221,2023-09-12 23:36:02.439392,0 days 00:00:00.570171,0.9,9.942388124305115,3,72,3.092304627134021,5.737721753458067,1.0,FAIL
135,,2023-09-12 23:36:02.440395,2023-09-12 23:36:02.949012,0 days 00:00:00.508617,1.0,9.542530987927975,5,66,5.547884116525918,2.327509596996957,0.8,FAIL
136,,2023-09-12 23:36:02.951013,2023-09-12 23:36:03.455396,0 days 00:00:00.504383,0.5,4.160473837944887,6,46,7.082118005720943,7.873963128019663,0.8,FAIL
137,,2023-09-12 23:36:03.457458,2023-09-12 23:36:04.120392,0 days 00:00:00.662934,0.9,5.344353982539463,6,12,4.62577036503559,3.383370918537765,1.0,FAIL
138,,2023-09-12 23:36:04.122393,2023-09-12 23:36:04.698632,0 days 00:00:00.576239,0.5,1.6710595177821732,4,93,2.72556494043058,1.4040211769373236,0.8,FAIL
139,,2023-09-12 23:36:04.700633,2023-09-12 23:36:05.391473,0 days 00:00:00.690840,0.7,7.6909509386684265,3,90,9.536081967922401,9.105677382279119,1.0,FAIL
140,,2023-09-12 23:36:05.393473,2023-09-12 23:36:05.980060,0 days 00:00:00.586587,1.0,4.302436096679456,4,29,4.119627327956266,7.5020832631755185,0.6,FAIL
141,,2023-09-12 23:36:05.981060,2023-09-12 23:36:06.598410,0 days 00:00:00.617350,1.0,5.303068639277792,3,65,2.444035524506376,2.0162614022270464,0.6,FAIL
142,,2023-09-12 23:36:06.600411,2023-09-12 23:36:07.193058,0 days 00:00:00.592647,0.5,3.5145871416031746,3,3,8.783326577585205,3.5921576605309498,0.8,FAIL
143,,2023-09-12 23:36:07.195057,2023-09-12 23:36:07.881727,0 days 00:00:00.686670,1.0,7.337138857693866,5,66,5.810794094421858,8.179184585990953,0.6,FAIL
144,,2023-09-12 23:36:07.882727,2023-09-12 23:36:08.425442,0 days 00:00:00.542715,0.7,8.917330319088705,3,61,1.5373718251690351,4.463314847215107,0.7,FAIL
145,,2023-09-12 23:36:08.427442,2023-09-12 23:36:08.932535,0 days 00:00:00.505093,1.0,1.828991560079508,4,9,8.609517396629123,3.408535951871441,0.6,FAIL
146,,2023-09-12 23:36:08.934535,2023-09-12 23:36:09.793722,0 days 00:00:00.859187,0.5,3.056549142364697,3,56,4.096748437684077,9.788624833963823,1.0,FAIL
147,,2023-09-12 23:36:09.795722,2023-09-12 23:36:10.315015,0 days 00:00:00.519293,0.7,6.350141073824794,6,13,4.876721391757295,7.215633132785065,0.8,FAIL
148,,2023-09-12 23:36:10.317520,2023-09-12 23:36:10.823841,0 days 00:00:00.506321,0.7,2.882395298791126,3,35,6.315082097711841,2.976586513988531,0.6,FAIL
149,,2023-09-12 23:36:10.825840,2023-09-12 23:36:11.461579,0 days 00:00:00.635739,0.5,8.09685920617656,6,77,2.6296041911777364,9.436140971525981,0.6,FAIL
150,,2023-09-12 23:36:11.462579,2023-09-12 23:36:11.987975,0 days 00:00:00.525396,0.7,4.194858402087869,4,9,6.1538707765574125,1.7586653978787412,0.6,FAIL
151,,2023-09-12 23:36:11.989976,2023-09-12 23:36:12.606403,0 days 00:00:00.616427,0.5,3.9761049811735574,6,55,3.742113987184589,9.427615588859924,0.6,FAIL
